2023-10-25 17:09:28,414 - INFO - {'e': 'aggTrade', 'E': 1698233969169, 's': 'BTCUSDT', 'a': 2738159547, 'p': '34279.80000000', 'q': '0.00109000', 'f': 3256542252, 'l': 3256542252, 'T': 1698233969168, 'm': True, 'M': True}
2023-10-25 17:09:30,466 - INFO - {'e': 'aggTrade', 'E': 1698233971273, 's': 'ETHUSDT', 'a': 947962831, 'p': '1785.68000000', 'q': '0.00910000', 'f': 1216858480, 'l': 1216858480, 'T': 1698233971272, 'm': True, 'M': True}
2023-10-25 17:09:30,466 - INFO - {'e': 'aggTrade', 'E': 1698233971273, 's': 'ETHUSDT', 'a': 947962831, 'p': '1785.68000000', 'q': '0.00910000', 'f': 1216858480, 'l': 1216858480, 'T': 1698233971272, 'm': True, 'M': True}
2023-10-25 17:09:32,513 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:32,515 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:34,540 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:34,542 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:36,611 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:36,614 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:38,695 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:38,702 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:40,760 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
